,country_code,o3,pm10,pm25,so2,co2,country,gdp_per_capita,che_per_capita_usd,both_sex_life_exp,fem_life_exp,male_life_exp,poverty_rate,cig_percent
4,AT,85.30788811920482,15.820250925316428,8.945113569847924,2.1288316448567652,7.303837722,Austria,54297.0,4972.0,81.315,83.535,79.02,13.3,29.1
5,AU,0.013374206490186735,551.7336170255911,5.264174282954377,0.0013692183761365448,15.671658296,Australia,48484.0,5602.0,82.66,84.505,80.83,12.4,16.2
6,BA,25.561764705882354,62.52,18.623076923076923,32.565714285714286,6.2988064248,Bosnia and Herzegovina,13772.0,3863.0,76.535,78.87,74.16,16.9,38.3
8,BE,49.806263858093125,19.6640986680687,11.45853400893164,1.7766639276910434,8.2391604058,Belgium,50560.0,4770.0,81.065,83.185,78.885,14.8,25.0
9,BG,50.43759287925696,19.693200335113623,8.370665154950869,12.093272043010751,5.9353856856,Bulgaria,21534.0,6192.0,74.81,78.32,71.41,23.8,38.9
11,BR,35.08960209119954,28.439280018227386,14.346301670719273,3.7307187397440105,2.1663255491999998,Brazil,14694.0,8458.0,75.515,79.015,72.06,26.5,16.5
12,CA,0.03245952472266019,8.162158713957643,4.5577319873537085,0.00037510356255178126,15.538990046,Canada,48286.0,4877.0,82.0,83.815,80.14,11.6,17.5
13,CH,49.882222934232715,13.312314886731391,9.526094835680752,0.7010556701030928,4.5594444588,Switzerland,69467.0,9593.0,83.03,84.78999999999999,81.195,16.0,25.1
15,CL,39.54601219512195,62.08046467825997,41.92994509131605,19.35155879140555,4.7109148734,Chile,24688.0,1301.0,80.28,82.88,77.535,8.6,44.7
16,CN,129.8226433430515,41.43780369290573,25.989269746646794,7.429057337220603,7.317217649600001,China,14273.0,4555.0,77.035,80.18,74.28999999999999,0.6,24.7
17,CO,0.010918239892857142,47.688076413043476,17.690126576595745,0.002630343883333333,1.6398503048,Colombia,14272.0,4901.0,78.83,81.44,76.16,35.7,7.9
22,DE,50.20017371782695,14.970589087797778,9.756536872478652,2.623714297431851,8.6932817098,Germany,52705.0,5083.0,81.07,83.74,78.42,14.8,28.0
23,DK,73.9129307715767,19.177220394736842,8.012322274881516,0.5034516129032258,5.7337505704,Denmark,55155.0,5856.0,80.955,82.685,79.195,12.5,18.6
26,EE,46.280833333333334,12.691665,7.312107142857142,0.4085949941176471,11.1822379956,Estonia,33674.0,1376.0,78.24,82.155,73.86500000000001,21.7,30.5
27,ES,59.576294767735135,19.295985302291115,9.068832978723405,3.5223924510041136,5.4140831573999995,Spain,39289.0,2541.0,82.775,85.31,80.17,20.7,27.9
