air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate,distance,plant_capacity,nameplate_capacity_MW1,NOx_tons1,SO2_tons1,CO2_tons1,CH4_lbs1,N2O_lbs1,PM2.5_tons1,dist_from_county1,nameplate_capacity_MW2,NOx_tons2,SO2_tons2,CO2_tons2,CH4_lbs2,N2O_lbs2,PM2.5_tons2,dist_from_county2,nameplate_capacity_MW3,NOx_tons3,SO2_tons3,CO2_tons3,CH4_lbs3,N2O_lbs3,PM2.5_tons3,dist_from_county3,nameplate_capacity_MW4,NOx_tons4,SO2_tons4,CO2_tons4,CH4_lbs4,N2O_lbs4,PM2.5_tons4,dist_from_county4,nameplate_capacity_MW5,NOx_tons5,SO2_tons5,CO2_tons5,CH4_lbs5,N2O_lbs5,PM2.5_tons5,dist_from_county5,fuel_type1_Biomass,fuel_type1_Coal,fuel_type1_Gas,fuel_type1_Oil,fuel_type1_Other Fossil,fuel_type2_Biomass,fuel_type2_Coal,fuel_type2_Gas,fuel_type2_Oil,fuel_type2_Other Fossil,fuel_type3_Biomass,fuel_type3_Coal,fuel_type3_Gas,fuel_type3_Oil,fuel_type3_Other Fossil,fuel_type4_Biomass,fuel_type4_Coal,fuel_type4_Gas,fuel_type4_Oil,fuel_type4_Other Fossil,fuel_type5_Biomass,fuel_type5_Coal,fuel_type5_Gas,fuel_type5_Oil,fuel_type5_Other Fossil,cardio_death,total_cancer,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney and renal,leukemia,liver,lung,melanoma,non-hudgkin lymphoma,oral cavity,ovay,pancreas,prostate,stomach,thyroid,uteras,Rate_range,bladder_range,brain_range,breast_range,breast_insitu_range,cervix_range,colon_range,esophagus_range,kidney and renal_range,leukemia_range,liver_range,lung_range,melanoma_range,non-hudgkin lymphoma_range,oral cavity_range,ovay_range,pancreas_range,prostate_range,stomach_range,thyroid_range,uteras_range,Pediatric Asthma,Adult Asthma,COPD,Adult Chronic Lung Disease
15.6,60000,10,85,26,14.8,26.7,27.7,33.3,27,14.5,15,9.6,84,2323,1,136.934,0.195,0,139.609,13.961,0.44115435,11,1,99.09,0.141,0,101.023,10.102,0.3192252,11,1,100.652,0.143,0,102.621,10.262,0.32427465,11,98,2.776,0.104,20450.143,747.928,74.793,0.639957511,12,92.2,1.275,0.039,7775.494,286.323,28.632,0.223223948,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,224.4,376.2,13.8,5.1,101.2,19.6,10,26.1,0,19.2,11.6,0,32,11.3,14.7,0,14.2,12,84.6,9.3,6.2,28.4,30.3,6.1,3.5,22.8,10.4,7.7,11.6,0,10,7.6,0,12.8,8,8.8,0,8.7,8,21.7,7.1,5.2,12.1,1.832447018,6.85694077,3.456631651,11.10929191
7,64000,7.9,87.3,19.5,8.9,29.1,29.6,22.9,21.9,15.5,17,5.9,378,2323,6,261.901,0.316,11568.42,436.38,43.638,0.041765021,19,36.2,134.022,35.044,1203.018,197645.474,25939.551,32.18249086,27,12,7.248,0.915,0,5165.072,677.916,0.835084861,43,62.7,253.439,47.159,0.01,266159.615,34933.449,43.03231824,53,20,27.087,4.638,0,26176.827,3435.709,4.232240197,60,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,228,367.6,18.1,0,138.1,24.5,0,35,0,0,0,0,40.8,0,0,0,0,0,81.5,0,0,30.6,59.3,14.1,0,58.2,28.5,0,29.9,0,0,0,0,30.2,0,0,0,0,0,40.2,0,0,27.7,1.222681237,7.702558635,4.404317697,12.03358209
6.4,128000,6.1,39.8,6.4,3.5,27.7,31.8,17.8,15.9,6,8.2,4.5,223,2323,4,0,5.491,0,0,0,2.4094035,12,1.6,0,0.205,0,0,0,0.0901551,17,3.2,0,3.039,0.001,0,0,1.3336281,17,3.2,0,3.272,0,0,0,1.43565345,17,3,0,0.22,0.001,0,0,0.09664515,21,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,122.2,451.7,20.9,7.7,155.7,36.4,4.7,28.5,1.9,6.4,9.7,4.2,35.6,48.3,16.6,6.8,10.8,9.8,104.6,6.1,5.3,26.2,19.9,4.1,3,17,8.3,3.5,7.1,1.8,3.4,4.2,2.8,7.2,10,5.4,3.4,4.5,3.8,12.9,3.5,3.7,6.5,1.327468018,7.607293302,5.456764025,12.84255359
9.1,57000,7,73.1,9.1,10,35.4,36.8,20.6,17.3,13.3,13.1,8,172,2323,15,74.469,16.756,1.234,94565.557,12411.735,15.2893524,35,25,204.435,26.899,0.169,151815.446,19925.777,24.54533128,37,49.6,176.368,0.208,7596.912,286.568,28.657,0.027426833,38,12.5,44.797,0.213,67.26,100250.24,13157.764,16.22105113,38,12.5,18.027,0.137,448.212,70229.693,9220.656,11.4230281,42,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,220.1,384,25.6,0,105.1,0,0,43,0,0,0,0,41.9,21.7,0,0,0,0,72.1,0,0,0,68.1,17.4,0,57.4,0,0,35.6,0,0,0,0,33,28.3,0,0,0,0,40.5,0,0,0,1.113053613,7.878787879,6.083916084,13.34498834
12,59000,8.9,85.9,30.3,18.2,27.4,28.7,35,27.3,16.3,14.7,10.4,137,2323,12.5,18.027,0.137,448.212,70229.693,9220.656,11.4230281,13,49.8,0.68,0.007,377.552,23.179,3.659,0.01771136,23,300.6,29.798,2.611,516993.484,17925.149,1792.515,26.93805512,23,49.6,176.368,0.208,7596.912,286.568,28.657,0.027426833,26,12.5,44.797,0.213,67.26,100250.24,13157.764,16.22105113,27,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,213.7,387.5,15.1,4.8,99,19.9,9.9,33,2.7,12.9,9.7,9.1,36.3,11.5,15.3,4.4,9.1,11.9,81.8,10.3,4,20.9,22.4,4.5,2.5,15.7,7.2,5.4,9.2,2.7,5.7,5.1,4.8,9.6,5.4,6.2,3.4,5,5.6,14.9,5.7,3.3,7.2,1.978857806,6.663873491,3.535874407,11.12829989
5.6,47000,7.4,81.8,15.3,13.3,36.9,36.7,22.5,19,17.9,15.2,7.1,344,1200,501.5,195.802,7.483,1482215.707,52774.99,5277.499,39.05230122,69,117.6,8.909,0.276,54767.603,2105.399,210.54,19.96275328,69,20,27.087,4.638,0,26176.827,3435.709,4.232240197,71,31,124.08,27.338,7161.383,153457.802,20132.895,26.16479836,71,6,261.901,0.316,11568.42,436.38,43.638,0.041765021,82,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,240,340.4,24.4,0,74.4,0,0,0,0,0,0,0,35.2,0,0,0,0,0,57.1,0,0,0,98.6,28.6,0,72.5,0,0,0,0,0,0,0,42.7,0,0,0,0,0,55,0,0,0,1.323747575,7.588725322,5.956864088,13.18041767
6.7,85000,8.4,73.8,27,8.9,25.9,27.7,31.6,22.9,11.6,12.1,8.3,75,2323,133.2,2.693,0.05,9915.486,2706.516,270.652,0.304839101,10,47.3,10.555,0.108,3967.273,149.652,14.965,0.186109105,10,1.4,0,1.867,0,0,0,0.81945885,21,6.2,40.515,0.419,15317.146,577.788,57.779,0.718544012,32,38.9,9.181,0.599,118587.609,4199.235,419.923,1.131492624,32,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,153.1,389.2,14.8,5.8,118.2,18.3,9.5,29.1,1.8,8.4,10.7,5,30.9,21.1,17.9,4.7,10.4,11.5,100.4,10.9,5.5,24.8,16.7,3.3,2.1,13.1,5.3,4,6.5,1.7,3.5,4,2.6,6.5,5.5,5.1,2.7,3.9,4,12.2,4.2,2.9,5.9,1.76418987,6.965556293,3.993678436,11.55008285
6.3,74000,6,62.4,5.4,6.8,33.2,36.9,19.2,15.1,9.2,11.1,5.6,283,2323,3.5,0,4.891,0,0,0,2.1462588,37,20,61.243,6.276,0,35423.059,4649.276,5.72711118,38,32.2,28.965,6.831,0,38554.963,5060.339,6.233521337,40,31.2,11.778,1.063,598.668,48.486,9.697,1.136304697,40,27.9,108.887,32.404,2109.867,182636.107,23968.502,29.92725396,44,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,181.2,409.3,17.5,6.3,137.9,28.3,6.7,27.8,3.5,5.4,10.7,0,36,32.2,13.9,4.3,12,11.6,100.7,4.8,5.1,22,30.4,6,4.6,26.6,12.8,7.5,11.8,4.1,5,8.3,0,11.5,13.3,8.1,4.4,7.5,7.4,19.2,5,5.8,9.9,1.149529145,7.830853563,6.078951067,13.33152621
7.2,101000,6.1,59.2,4.9,3.6,28.1,33.1,23.2,14,6.5,9.9,5,266,2323,32.2,28.965,6.831,0,38554.963,5060.339,6.233521337,34,27.9,108.887,32.404,2109.867,182636.107,23968.502,29.92725396,36,5,214.904,0.256,9347.5,352.603,35.26,0.033746918,36,66,4.212,0.044,1605.354,60.711,6.094,0.075308922,37,4.8,0,4.984,0.002,0,0,2.187235107,37,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,174.5,449.6,19.8,6.7,142.8,34.8,6.7,31.4,1.9,9.5,9.3,3.3,38.3,32.8,13.8,6.2,9.4,11.4,111.4,6.7,10.4,24.6,16.7,3.4,2.2,13.5,6.6,3.4,6.2,1.6,3.5,3.6,1.9,6.4,6.7,4.1,2.8,3.6,3.6,11.6,3,4.2,5.4,1.49770443,7.351532448,4.901104355,12.3412334
14,58000,7.8,75.5,5.3,10.3,35.9,36.8,25.1,18.3,13.5,12.5,9.5,331,2323,62.7,253.439,47.159,0.01,266159.615,34933.449,43.03231824,6,12,7.248,0.915,0,5165.072,677.916,0.835084861,30,6,261.901,0.316,11568.42,436.38,43.638,0.041765021,34,36.2,134.022,35.044,1203.018,197645.474,25939.551,32.18249086,39,20,61.243,6.276,0,35423.059,4649.276,5.72711118,39,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,216,407,15.8,0,128.1,0,0,33,0,0,26.5,0,51.3,17.6,0,0,0,0,93.3,0,0,0,71,13.4,0,63.1,0,0,31.4,0,0,32.3,0,32.9,21.9,0,0,0,0,41.6,0,0,0,1.191543207,7.776664733,6.242421047,13.43913112
