air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate,distance,plant_capacity,nameplate_capacity_MW1,NOx_tons1,SO2_tons1,CO2_tons1,CH4_lbs1,N2O_lbs1,PM2.5_tons1,dist_from_county1,nameplate_capacity_MW2,NOx_tons2,SO2_tons2,CO2_tons2,CH4_lbs2,N2O_lbs2,PM2.5_tons2,dist_from_county2,nameplate_capacity_MW3,NOx_tons3,SO2_tons3,CO2_tons3,CH4_lbs3,N2O_lbs3,PM2.5_tons3,dist_from_county3,nameplate_capacity_MW4,NOx_tons4,SO2_tons4,CO2_tons4,CH4_lbs4,N2O_lbs4,PM2.5_tons4,dist_from_county4,nameplate_capacity_MW5,NOx_tons5,SO2_tons5,CO2_tons5,CH4_lbs5,N2O_lbs5,PM2.5_tons5,dist_from_county5,fuel_type1_Biomass,fuel_type1_Coal,fuel_type1_Gas,fuel_type1_Oil,fuel_type1_Other Fossil,fuel_type2_Biomass,fuel_type2_Coal,fuel_type2_Gas,fuel_type2_Oil,fuel_type2_Other Fossil,fuel_type3_Biomass,fuel_type3_Coal,fuel_type3_Gas,fuel_type3_Oil,fuel_type3_Other Fossil,fuel_type4_Biomass,fuel_type4_Coal,fuel_type4_Gas,fuel_type4_Oil,fuel_type4_Other Fossil,fuel_type5_Biomass,fuel_type5_Coal,fuel_type5_Gas,fuel_type5_Oil,fuel_type5_Other Fossil,cardio_death,total_cancer,bladder,brain,breast,breast_insitu,cervix,colon,esophagus,kidney and renal,leukemia,liver,lung,melanoma,non-hudgkin lymphoma,oral cavity,ovay,pancreas,prostate,stomach,thyroid,uteras,Rate_range,bladder_range,brain_range,breast_range,breast_insitu_range,cervix_range,colon_range,esophagus_range,kidney and renal_range,leukemia_range,liver_range,lung_range,melanoma_range,non-hudgkin lymphoma_range,oral cavity_range,ovay_range,pancreas_range,prostate_range,stomach_range,thyroid_range,uteras_range,Pediatric Asthma,Adult Asthma,COPD,Adult Chronic Lung Disease
4.9,48000,7.5,74.6,6.3,3.6,34.8,36.7,24.6,21.7,9.7,10.8,6.5,319,4209.6,2409.3,11075.962,3052.305,11916501.25,2607359.371,379330.32,1904.783708,66,1577.2,10513.504,3545.837,9336998,2157046.073,313748.95,131.8606334,94,3.2,13.802,0.012,0,8.734,0.873,0.02759925,103,1037.3,5205.74,2144.056,5355798,1264377.465,183923.078,163.9835115,107,16,40.647,0.083,2138.866,72.098,7.354,1.693718056,112,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,208.7,345.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.7,0,0,0,134.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.5,0,0,0,1.386138614,8.158415842,4.01980198,12.15841584
5.3,59000,7.4,69.3,6.2,6.2,30.4,32.1,19.8,18.1,10.4,10.9,4.4,428,4209.6,26.6,4.276,0.044,1682.209,68.266,7.548,0.078914253,46,58.1,390.692,4220.355,513755.688,118105.544,17183.663,15.15172621,59,113.8,239.389,187.784,168149.938,29347.621,4256.737,9.487218524,77,609.5,5308.274,1422.133,4135344.25,913093.441,132823.601,514.0969365,78,1577.2,10513.504,3545.837,9336998,2157046.073,313748.95,131.8606334,79,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,186.4,375.1,0,0,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.9,0,0,0,100.9,0,0,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8,0,0,0,1.306655778,8.401388322,3.858717844,12.16823193
5,53000,8.1,71.1,6.6,9.3,26.8,29.7,29.2,14.9,13.7,11,2.8,310,4209.6,3.2,13.802,0.012,0,8.734,0.873,0.02759925,22,16,40.647,0.083,2138.866,72.098,7.354,1.693718056,47,6,7.803,0.009,329.568,12.432,1.243,0.001189829,49,80,14.085,0.247,49340.084,1690.605,169.061,2.670277598,53,14,1.072,0.092,51.938,4.206,0.841,0.09858,54,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,167.7,434.6,19,10,100.8,18.7,0,35,0,13.5,14.8,0,26.1,37.7,16.7,0,0,0,122.6,0,0,25.4,54.6,11.9,8.7,37.7,17.4,0,22.5,0,14.2,15.1,0,18.9,24.6,15.6,0,0,0,40.8,0,0,19.3,1.717886436,7.769211814,3.050304502,11.45492308
5.9,70000,8.5,81.3,7.6,6.5,28.7,31.8,32.9,19.7,7.7,11.8,2,436,4209.6,2480,9050.205,2021.158,7416099.75,1813868.082,263915.532,862.1120391,17,649,78.79,6.469,1281473.125,47563.619,4756.362,28.41949492,48,9.7,0.456,0,17.124,0.774,0.097,6.18E-05,61,140,27.568,0.964,191032.703,7905.375,790.538,9.251988318,61,31,100.936,0.121,4823.192,210.74,25.394,0.017412986,70,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,200.9,398.7,0,0,94.9,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,112.5,0,0,79.7,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6,0,0,0,2.078864874,7.152285101,2.837815542,11.03778254
4.8,58000,8.4,70.3,8.6,5.2,34,35.8,25.2,19.5,9,10.1,2.9,275,4209.6,2409.3,11075.962,3052.305,11916501.25,2607359.371,379330.32,1904.783708,38,16,40.647,0.083,2138.866,72.098,7.354,1.693718056,78,6,7.803,0.009,329.568,12.432,1.243,0.001189829,86,80,14.085,0.247,49340.084,1690.605,169.061,2.670277598,90,14,1.072,0.092,51.938,4.206,0.841,0.09858,93,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,197.6,440.7,0,0,131.6,0,0,0,0,0,0,0,0,0,0,0,0,0,147.1,0,0,0,122.3,0,0,102.8,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,1.415213546,8.112206217,4.030831438,12.14303765
5.7,60000,9.4,77.6,10.4,7,32,32.3,26,21.4,10.7,10.8,2.4,393,4209.6,2480,9050.205,2021.158,7416099.75,1813868.082,263915.532,862.1120391,41,3.2,13.802,0.012,0,8.734,0.873,0.02759925,63,649,78.79,6.469,1281473.125,47563.619,4756.362,28.41949492,83,140,27.568,0.964,191032.703,7905.375,790.538,9.251988318,100,9.7,0.456,0,17.124,0.774,0.097,6.18E-05,100,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,176.2,391.1,0,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,123.2,0,0,0,93.2,0,0,72.4,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,0,0,0,1.913408869,7.345989345,3.339086066,11.40541757
7.5,104000,6.8,61.6,2.2,1.5,25.7,30.7,26.5,21.2,3.7,8.2,2.1,536,1200,44.4,29.138,0.277,10111.429,381.42,38.142,0.474338194,21,2.3,0,1.488,0,0,0,0.652782886,21,7.4,30.754,0.321,11723.757,442.24,44.224,0.549974181,27,30.4,302.041,3.168,126925.142,4787.898,478.695,5.954195669,27,492.1,95.091,0.679,134544.778,5011.468,501.147,8.323285427,29,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,198.5,389.2,0,0,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,107.9,0,0,0,109.4,0,0,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6,0,0,0,2.110415664,7.093564436,2.95297705,11.05761515
4.7,47000,8.2,78.4,7.3,8.5,37.8,38.2,23.6,20.5,15.3,11.6,4.4,344,4209.6,3.2,13.802,0.012,0,8.734,0.873,0.02759925,64,1577.2,10513.504,3545.837,9336998,2157046.073,313748.95,131.8606334,83,2480,9050.205,2021.158,7416099.75,1813868.082,263915.532,862.1120391,85,1037.3,5205.74,2144.056,5355798,1264377.465,183923.078,163.9835115,92,16,40.647,0.083,2138.866,72.098,7.354,1.693718056,102,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,238,397.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425661914,7.942973523,4.344874406,12.21995927
6,76000,7,78,4.3,4.9,31,32.9,22.4,21.4,8.4,10.3,2.3,522,1200,5,77.383,0.776,28385.105,1070.733,107.073,1.331576226,30,21.5,0.399,0.004,154.878,5.842,0.584,0.007265493,32,832,3526.98,2565.834,3388491,758671.101,110321.032,60.69638365,34,2.3,0,1.488,0,0,0,0.652782886,51,44.4,29.138,0.277,10111.429,381.42,38.142,0.474338194,61,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,171.3,346.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.753670473,7.544861338,3.54812398,11.62316476
9.7,79000,7.9,63.5,8.5,6,25.3,27.5,29.6,17.6,7,9.2,2.8,506,4209.6,42,10.563,0.111,4050.966,152.809,15.281,0.19003522,2,217,20.944,0.613,121303.921,4349.528,434.953,4.130865307,6,492.1,95.091,0.679,134544.778,5011.468,501.147,8.323285427,7,7.4,30.754,0.321,11723.757,442.24,44.224,0.549974181,8,3.2,0,5.038,0,0,0,2.2104684,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,193.8,407,16,6.8,121,24.3,6,25.8,1,10.7,10.8,4.9,25.5,33.9,14.3,6.1,10.7,9.8,101.8,7.1,8.8,28,11.3,2.3,1.4,8.5,3.9,2,4,0.8,2.5,2.6,1.7,4,4.4,3,1.9,2.5,2.4,8.4,2.3,2.4,4.1,1.614734062,8.001341894,3.05684087,11.54963849
5.4,51000,11.2,80.8,14.3,20.1,35,30.9,33.5,19.5,18.6,15.1,6.3,340,4209.6,113.8,239.389,187.784,168149.938,29347.621,4256.737,9.487218524,82,1848,6477.961,1453.307,6018084.75,1284171.902,186887.345,26.93717248,94,2269.6,2881.284,1883.046,9667380.5,2058680.296,299327.015,1198.057822,97,2409.3,11075.962,3052.305,11916501.25,2607359.371,379330.32,1904.783708,100,67,67.578,0.945,187132.797,6857.59,685.759,1.984291931,108,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,146.9,289.3,0,0,88.7,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8,0,0,0,78.4,0,0,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,0,0,0,1.7868831,7.631888991,3.305406467,11.50019636
5.7,55000,8.6,79.3,8,6.3,27,28.8,28.5,20.7,14.1,10.9,2.8,420,4209.6,1037.3,5205.74,2144.056,5355798,1264377.465,183923.078,163.9835115,27,1577.2,10513.504,3545.837,9336998,2157046.073,313748.95,131.8606334,32,649,78.79,6.469,1281473.125,47563.619,4756.362,28.41949492,35,140,27.568,0.964,191032.703,7905.375,790.538,9.251988318,48,9.7,0.456,0,17.124,0.774,0.097,6.18E-05,48,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,193.8,308,13.1,0,76.9,0,0,0,0,0,0,0,23.7,0,0,0,0,0,72.8,0,0,29.9,57.6,12.8,0,43,0,0,0,0,0,0,0,23.3,0,0,0,0,0,38.3,0,0,28.3,1.513076163,8.119644507,3.287357054,11.74147103
5.2,56000,8.1,79.1,9,9.4,33,34.6,31.3,19.6,10,11.3,3.3,375,4209.6,1577.2,10513.504,3545.837,9336998,2157046.073,313748.95,131.8606334,51,1037.3,5205.74,2144.056,5355798,1264377.465,183923.078,163.9835115,58,2480,9050.205,2021.158,7416099.75,1813868.082,263915.532,862.1120391,67,649,78.79,6.469,1281473.125,47563.619,4756.362,28.41949492,74,3.2,13.802,0.012,0,8.734,0.873,0.02759925,90,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,233.4,402.2,23,0,101.7,0,0,30.4,0,0,0,0,26.7,0,0,0,0,0,107.7,0,0,0,73.5,18,0,53.1,0,0,31,0,0,0,0,27.3,0,0,0,0,0,53,0,0,0,1.749311295,7.644628099,3.383838384,11.56565657
7.4,116000,5.2,43.9,4.8,1.3,22.9,30.3,17.5,13,4.5,7,2.9,527,4209.6,19.6,288.395,0.347,12665.629,477.769,47.777,0.045726232,35,1.8,0.13,0,5.857,0.221,0.022,2.11E-05,42,7.4,30.754,0.321,11723.757,442.24,44.224,0.549974181,47,44.4,29.138,0.277,10111.429,381.42,38.142,0.474338194,49,30.4,302.041,3.168,126925.142,4787.898,478.695,5.954195669,50,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,156.2,443.7,14.1,0,129.5,18.6,0,28,0,0,17.6,0,23.7,51,16.1,0,0,0,154.2,0,0,17.7,60.8,11.9,0,45.9,17.9,0,23.4,0,0,18.4,0,22,28.8,17.2,0,0,0,50.4,0,0,17.9,1.440033883,8.270782842,3.642438646,11.95557543
6,63000,11.2,83.7,11.5,8.1,29.3,32.5,36.1,21.4,10.8,14.1,5.6,501,4209.6,609.5,5308.274,1422.133,4135344.25,913093.441,132823.601,514.0969365,13,58.1,390.692,4220.355,513755.688,118105.544,17183.663,15.15172621,61,26.6,4.276,0.044,1682.209,68.266,7.548,0.078914253,80,1037.3,5205.74,2144.056,5355798,1264377.465,183923.078,163.9835115,98,11.5,11.227,71.769,1780.968,67.181,6.718,0.207316964,100,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,218.2,386.9,13.7,0,94.8,20.2,0,35.6,0,0,0,0,26.9,0,0,0,0,0,110,0,0,22.1,63.1,12.6,0,44.1,21.4,0,27.7,0,0,0,0,24.2,0,0,0,0,0,50,0,0,21.5,1.976647206,7.339449541,2.896858493,11.15651932
8.7,82000,7.1,58.9,4.8,3.9,20.4,24.7,27.3,16.6,7.8,6.3,2.3,470,4209.6,9.7,0.456,0,17.124,0.774,0.097,6.18E-05,5,140,27.568,0.964,191032.703,7905.375,790.538,9.251988318,5,31,100.936,0.121,4823.192,210.74,25.394,0.017412986,5,12,69.115,0.082,2976.93,112.295,11.229,0.010747496,8,1385,136.634,11.466,2271174.281,84842.224,8484.222,62.73855177,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,200.3,388.5,16,7.2,118.6,18.8,5,26,0,9.6,10.6,2.7,16.6,28.2,12.9,6,13,9.5,127,5.7,10.9,25.6,17.6,3.7,2.3,13.5,5.5,2.7,6.4,0,3.9,4,2.1,5.2,6.5,4.5,3.1,4.5,4,14.9,3.3,4.2,6.2,1.998743585,7.371374945,2.467057517,10.95307799
6.9,87000,6.2,56.3,4.6,2.1,26.3,29.2,26.4,15.9,4.7,8,2.9,489,4209.6,19.6,288.395,0.347,12665.629,477.769,47.777,0.045726232,18,31,100.936,0.121,4823.192,210.74,25.394,0.017412986,26,12,69.115,0.082,2976.93,112.295,11.229,0.010747496,27,1385,136.634,11.466,2271174.281,84842.224,8484.222,62.73855177,31,1.8,0.13,0,5.857,0.221,0.022,2.11E-05,31,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,181.8,405.6,22.2,0,103.8,0,0,0,0,0,0,0,24.1,49,0,0,0,0,135.5,0,0,28.4,68.4,18.5,0,49.5,0,0,0,0,0,0,0,25.6,35.1,0,0,0,0,53.2,0,0,27.1,1.858356941,7.541076487,3.135977337,11.36260623
5.2,72000,6.9,70.8,6.2,5.9,31.4,33.1,27.9,15.9,6.9,8.4,2.9,271,4209.6,6,7.803,0.009,329.568,12.432,1.243,0.001189829,9,14,1.072,0.092,51.938,4.206,0.841,0.09858,12,80,14.085,0.247,49340.084,1690.605,169.061,2.670277598,12,16,40.647,0.083,2138.866,72.098,7.354,1.693718056,13,3.2,13.802,0.012,0,8.734,0.873,0.02759925,63,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,152.8,407.5,20.8,6,108,13.6,0,27,0,9.1,12.4,0,22.3,47.3,15,3.5,9.5,9,118.4,6.7,8.9,25.6,25.4,5.4,3.4,19.2,6.9,0,9.9,0,5.8,6.4,0,7.8,13.3,7,3.3,5.9,5,18.2,4.9,6.1,9.4,1.540183762,7.91561437,3.765554612,11.92182269
5,55000,6.7,76,10.4,5.3,32.8,35.3,26.3,17.7,11.2,10.4,4.7,358,4209.6,1577.2,10513.504,3545.837,9336998,2157046.073,313748.95,131.8606334,59,1037.3,5205.74,2144.056,5355798,1264377.465,183923.078,163.9835115,73,58.1,390.692,4220.355,513755.688,118105.544,17183.663,15.15172621,89,2409.3,11075.962,3052.305,11916501.25,2607359.371,379330.32,1904.783708,102,649,78.79,6.469,1281473.125,47563.619,4756.362,28.41949492,116,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,188.3,339.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37731062,8.191373686,4.02319681,12.17832548
9,72000,9.1,74.9,8.5,7.3,26.6,28.9,34.6,19.6,7.3,10.6,2.9,515,1200,2.3,0,1.488,0,0,0,0.652782886,10,44.4,29.138,0.277,10111.429,381.42,38.142,0.474338194,27,21.5,0.399,0.004,154.878,5.842,0.584,0.007265493,32,5,77.383,0.776,28385.105,1070.733,107.073,1.331576226,33,30.4,302.041,3.168,126925.142,4787.898,478.695,5.954195669,33,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,219.8,411,17.2,5.7,104,21.3,7.8,26.8,0,12.3,8.4,4.4,24.2,33.3,17.5,5.7,9.2,12.4,124.1,5.8,6.9,21.3,23.5,4.9,2.8,16.6,7.8,4.9,8.6,0,5.9,4.7,3.5,8,9.6,6.9,4.1,5,5.9,18.5,4.5,4.5,7.5,1.68508098,7.860792361,3.082715927,11.4978413
4.6,55000,8.8,79.9,10.2,4.4,35.3,32,29.8,23.4,11.5,17.5,4.4,565,1200,2.5,6.719,0.026,2996.274,113.043,11.279,0.459132437,52,115.7,77.767,115.163,231132.297,39697.984,5771.088,78.96308348,87,1.5,8.99,56.963,3085.795,726.751,105.709,0.666676389,89,68,195.285,3910.304,411375.449,24012.645,4784.638,11.61339021,91,22.5,0.534,0.005,187.314,7.066,0.707,0.008787135,93,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,228.1,398.3,27,0,134.9,0,0,36.2,0,0,0,0,45.5,0,0,0,0,0,103,0,0,0,90.4,23.9,0,80.4,0,0,40.3,0,0,0,0,46.9,0,0,0,0,0,63.6,0,0,0,2.090712743,7.403887689,5.313174946,13.24406048
4.6,67000,7.2,79.5,9.4,4.9,32.8,30.8,30.7,24.1,10.4,19.6,3.9,595,801,8.4,7.495,0.028,2976.095,111.969,11.22,0.534990975,11,465.4,737.93,1863.18,3000150.5,678755.02,98729.266,325.6019646,85,1427.6,7985.498,3018.464,9181676.75,1974850.081,287232.792,96.10250391,92,2441.9,7112.294,8891.646,12656779.75,2882702.4,419337.547,354.7633823,96,8,387.955,0.446,16300.94,614.898,61.49,0.058850645,97,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,188.5,394.9,19.6,0,124.8,0,0,0,0,0,0,0,35.9,0,0,0,0,0,132.9,0,0,0,86,20.2,0,76.3,0,0,0,0,0,0,0,40.2,0,0,0,0,0,66.9,0,0,0,1.923730542,7.728910339,4.907892054,13.071851
6.8,52000,7.3,75.2,8.2,11.4,29.4,30.4,25,23.6,15,20.8,4.7,576,1200,5.9,27.066,0.299,10954.634,413.227,41.323,0.513894427,21,8,387.955,0.446,16300.94,614.898,61.49,0.058850645,31,2441.9,7112.294,8891.646,12656779.75,2882702.4,419337.547,354.7633823,90,11.5,11.227,71.769,1780.968,67.181,6.718,0.207316964,107,144,1280.23,2.912,243121.375,9171.504,916.303,23.96041423,109,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,203.4,378.9,17.8,0,113.9,0,0,37.9,0,0,0,0,35.3,18.2,11.5,0,0,0,105.7,0,0,20.3,50.3,11.3,0,40.4,0,0,24,0,0,0,0,21.3,17.1,13.6,0,0,0,36.5,0,0,18.8,2.167001551,7.381031106,5.015642089,13.06305161
3.7,49000,8.9,76.5,5.8,5,38.7,36.1,25.6,21.8,10.9,17.9,3.9,564,1200,5.9,27.066,0.299,10954.634,413.227,41.323,0.513894427,61,8,387.955,0.446,16300.94,614.898,61.49,0.058850645,68,2.5,6.719,0.026,2996.274,113.043,11.279,0.459132437,89,2.7,2.796,0.254,142.747,11.561,2.312,0.27094,116,2,2.758,0.25,140.95,11.416,2.283,0.26753,129,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,204.9,400.8,0,0,124.4,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,0,0,0,142.9,0,0,124.2,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0,0,0,1.853107345,7.525423729,6.146892655,13.76271186
5.7,73000,8.3,77.7,7.1,2.2,32.4,33.6,24.5,21.3,6.9,17.3,3.8,517,1200,832,3526.98,2565.834,3388491,758671.101,110321.032,60.69638365,35,144,1280.23,2.912,243121.375,9171.504,916.303,23.96041423,39,41,218.814,7.916,148476.647,28870.563,4155.838,12.24363719,62,30,151.138,14.262,109737.423,21569.978,3100.369,21.89436076,66,5,77.383,0.776,28385.105,1070.733,107.073,1.331576226,69,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,187.4,358.2,0,0,119.2,33.7,0,0,0,0,0,0,25.8,30,0,0,0,0,93.7,0,0,31.8,72.5,0,0,61.5,34.2,0,0,0,0,0,0,27.6,33,0,0,0,0,49.2,0,0,31,2.231768133,7.287809213,4.986915519,13.01041821
4.7,66000,8,76.5,6.3,6.1,30.8,30.9,30.2,22.5,9.4,20,6.1,603,801,922.2,6315.625,7367.393,5773964.25,1267603.802,184392.942,531.3439456,52,8,387.955,0.446,16300.94,614.898,61.49,0.058850645,71,22.5,0.432,0.004,151.488,5.714,0.571,0.007106478,74,5.9,27.066,0.299,10954.634,413.227,41.323,0.513894427,77,8.4,7.495,0.028,2976.095,111.969,11.22,0.534990975,83,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,197.6,414.5,23.4,7.1,111.8,13.8,0,26.7,0,14.4,6.9,0,53.3,23.5,17.9,0,7.3,8.9,106.2,0,13,24.4,38.4,9.1,5.6,28.3,10.6,0,14.4,0,10.4,7.5,0,19.1,13.1,11.7,0,7.6,8.2,27.8,0,10.9,12.9,2.055311514,7.631009095,4.6154798,12.87879725
3.7,63000,5.9,65.1,4.1,3.7,31.6,31.6,25.8,20.4,8.2,14.6,4.1,491,1200,2.5,6.719,0.026,2996.274,113.043,11.279,0.459132437,48,2.7,2.796,0.254,142.747,11.561,2.312,0.27094,49,2,2.758,0.25,140.95,11.416,2.283,0.26753,62,1.5,8.99,56.963,3085.795,726.751,105.709,0.666676389,101,68,195.285,3910.304,411375.449,24012.645,4784.638,11.61339021,106,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,195.3,450.2,15.4,0,137.7,30.2,0,28.8,0,0,18.4,0,35.2,36.2,0,0,0,0,128.8,0,15.6,28.2,62.3,11.1,0,53.4,24.2,0,23.3,0,0,18.3,0,24.5,28.8,0,0,0,0,41.5,0,18.3,21.6,1.749002762,7.749480072,5.802734308,13.6135829
4.6,82000,5.9,71.3,4.6,1.3,31.7,31,20.9,18.5,6.2,15.9,5.6,529,1200,144,1280.23,2.912,243121.375,9171.504,916.303,23.96041423,62,832,3526.98,2565.834,3388491,758671.101,110321.032,60.69638365,78,41,218.814,7.916,148476.647,28870.563,4155.838,12.24363719,79,5.9,27.066,0.299,10954.634,413.227,41.323,0.513894427,81,30,151.138,14.262,109737.423,21569.978,3100.369,21.89436076,82,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,162.6,319.9,0,0,123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,0,0,0,93.6,0,0,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,1.836444805,7.721185065,5.438311688,13.37256494
5,71000,7.6,78.8,7.4,3.5,27,27.8,33.8,21.4,7.6,17.5,5.6,612,4209.6,2441.9,7112.294,8891.646,12656779.75,2882702.4,419337.547,354.7633823,7,11.5,11.227,71.769,1780.968,67.181,6.718,0.207316964,15,30,151.138,14.262,109737.423,21569.978,3100.369,21.89436076,45,41,218.814,7.916,148476.647,28870.563,4155.838,12.24363719,48,144,1280.23,2.912,243121.375,9171.504,916.303,23.96041423,64,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,204.1,427.8,23,8.2,86.4,14.9,0,25.7,0,15.1,17.1,0,43.4,19.9,16.3,0,0,0,157.7,0,0,16.6,57.6,14.5,8.8,37.3,16.1,0,20.6,0,16.2,17.4,0,27.2,18.6,17.4,0,0,0,49.1,0,0,16.2,2.184050805,7.541068123,4.274365524,12.65202821
4.5,92000,4.2,44.9,5.3,0.3,25.1,27.6,15.4,12,5.2,12.2,3.2,460,1200,2.7,2.796,0.254,142.747,11.561,2.312,0.27094,33,2,2.758,0.25,140.95,11.416,2.283,0.26753,38,5.6,31.311,0.322,11839.174,451.013,45.764,0.555389044,60,1.8,90.404,0.133,0,95.347,9.535,0.301289977,87,2.5,6.719,0.026,2996.274,113.043,11.279,0.459132437,112,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,118.9,410.8,18.7,0,155.2,32.7,0,37.9,0,0,0,0,0,40.6,0,0,0,0,115.5,0,0,0,73,16.8,0,64.9,31.2,0,34.9,0,0,0,0,0,34.4,0,0,0,0,54.5,0,0,0,1.519342895,8.277652466,4.889985956,13.16763842
6.2,71000,7.3,80.9,6.9,5.8,31.7,30.6,28.3,23.8,8.5,18.6,5,560,4209.6,832,3526.98,2565.834,3388491,758671.101,110321.032,60.69638365,33,41,218.814,7.916,148476.647,28870.563,4155.838,12.24363719,45,30,151.138,14.262,109737.423,21569.978,3100.369,21.89436076,46,144,1280.23,2.912,243121.375,9171.504,916.303,23.96041423,47,19.6,288.395,0.347,12665.629,477.769,47.777,0.045726232,71,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,221.3,353.7,20.6,0,112.2,0,0,43.3,0,0,0,0,32.1,0,0,0,0,0,62.1,0,0,0,75.3,19.7,0,62.1,0,0,40.9,0,0,0,0,34.3,0,0,0,0,0,43.5,0,0,0,2.384368044,7.222359634,4.462033144,12.68859758
