plant_name,FIPS,plant_county,plant_state,latitude,longitude,fuel_type,nameplate_capacity_MW,net_generation_MWh,NOx_tons,SO2_tons,CO2_tons,CH4_lbs,N2O_lbs,PM2.5_tons
Four Corners Steam Elec Station,35045,San Juan,New Mexico,36.69,-108.4814,Coal,2269.6,8917348,2881.284,1883.046,9667380.5,2058680.296,299327.015,1198.057822
Rio Grande,35013,Dona Ana,New Mexico,31.8047,-106.5472,Gas,398.3,927185,762.475,3.175,628675.078,23472.242,2347.224,25.63714493
Maddox,35025,Lea,New Mexico,32.714224,-103.301469,Gas,212,888606,518.126,1.883,369495.688,22235.857,2223.586,22.92836469
Reeves Generating Station,35001,Bernalillo,New Mexico,35.171,-106.6019,Gas,154,187436,288.861,0.728,144286.518,5341.395,534.139,8.886163081
San Juan,35045,San Juan,New Mexico,36.8006,-108.4386,Coal,1848,4715981,6477.961,1453.307,6018084.75,1284171.902,186887.345,26.93717248
Cunningham,35025,Lea,New Mexico,32.7131,-103.3533,Gas,519.2,1707645,998.492,5.457,1107203.625,42291.586,4229.159,57.16680344
Animas,35045,San Juan,New Mexico,36.725138,-108.19202,Gas,50.3,1421,4.181,0.043,1556.787,58.725,5.872,0.073030572
Danskammer Generating Station,36071,Orange,New York,41.571247,-73.974981,Gas,537.4,9205,5.437,0.033,6433.702,246.561,24.843,0.103607327
South Cairo,36039,Greene,New York,42.291275,-73.986452,Oil,21.6,140,1.005,0.571,187.589,14.967,2.993,0.03076023
West Coxsackie,36039,Greene,New York,42.350889,-73.815798,Gas,21.6,798,1.69,0.017,642.89,24.771,2.555,0.030158662
Arthur Kill,36085,Richmond,New York,40.591564,-74.200035,Gas,895.5,903336,308.91,3.114,616812.121,23300.151,2330.015,78.6859136
East River,36061,New York,New York,40.7281,-73.9742,Gas,716.2,2818767,463.495,26.834,1309358.871,45291.953,4643.868,98.69650858
Gowanus Generating Station,36047,Kings,New York,40.6635,-74.0051,Gas,733,7468,46.867,5.152,12779.352,375.586,51.054,13.3419043
