cnty_fips,display_name,Value
6065,"""Riverside, (CA)""",225.3
6071,"""San Bernardino, (CA)""",247.6
6073,"""San Diego, (CA)""",183.7
6107,"""Tulare, (CA)""",251.2
6111,"""Ventura, (CA)""",186.6
8007,"""Archuleta, (CO)""",182
8029,"""Delta, (CO)""",224.8
8033,"""Dolores, (CO)""",149.6
8045,"""Garfield, (CO)""",166.6
8051,"""Gunnison, (CO)""",137.5
8053,"""Hinsdale, (CO)""",166.9
8067,"""La Plata, (CO)""",180
8077,"""Mesa, (CO)""",217.4
8079,"""Mineral, (CO)""",166.9
8081,"""Moffat, (CO)""",182.9
8083,"""Montezuma, (CO)""",182.9
8085,"""Montrose, (CO)""",178.2
8091,"""Ouray, (CO)""",122.4
8097,"""Pitkin, (CO)""",61.7
8103,"""Rio Blanco, (CO)""",169.6
8107,"""Routt, (CO)""",101.1
8111,"""San Juan, (CO)""",155.3
8113,"""San Miguel, (CO)""",61.1
16001,"""Ada, (ID)""",192.5
16005,"""Bannock, (ID)""",238.8
16007,"""Bear Lake, (ID)""",198
16011,"""Bingham, (ID)""",234.8
16013,"""Blaine, (ID)""",116.8
16015,"""Boise, (ID)""",171.6
16019,"""Bonneville, (ID)""",229.5
16023,"""Butte, (ID)""",237.1
16025,"""Camas, (ID)""",184.8
16027,"""Canyon, (ID)""",222.2
16029,"""Caribou, (ID)""",233.2
16031,"""Cassia, (ID)""",233
16033,"""Clark, (ID)""",207.9
16037,"""Custer, (ID)""",169.2
16039,"""Elmore, (ID)""",211.1
16041,"""Franklin, (ID)""",207.8
16043,"""Fremont, (ID)""",214.9
16045,"""Gem, (ID)""",223
16047,"""Gooding, (ID)""",207.5
16051,"""Jefferson, (ID)""",220.9
16053,"""Jerome, (ID)""",213.2
16063,"""Lincoln, (ID)""",188.2
16065,"""Madison, (ID)""",279.9
16067,"""Minidoka, (ID)""",229.9
16071,"""Oneida, (ID)""",222.3
16073,"""Owyhee, (ID)""",206.7
16075,"""Payette, (ID)""",226.5
16077,"""Power, (ID)""",183.9
16081,"""Teton, (ID)""",167.5
16083,"""Twin Falls, (ID)""",211.2
16087,"""Washington, (ID)""",219
32001,"""Churchill, (NV)""",261.8
32003,"""Clark, (NV)""",250.9
32005,"""Douglas, (NV)""",185.3
32007,"""Elko, (NV)""",211.3
32009,"""Esmeralda, (NV)""",203.2
32011,"""Eureka, (NV)""",209.7
32013,"""Humboldt, (NV)""",235.7
32015,"""Lander, (NV)""",244.5
32017,"""Lincoln, (NV)""",218.8
32019,"""Lyon, (NV)""",242.3
32021,"""Mineral, (NV)""",260.4
32023,"""Nye, (NV)""",294.6
32027,"""Pershing, (NV)""",247.2
32029,"""Storey, (NV)""",239.7
32031,"""Washoe, (NV)""",246.9
32033,"""White Pine, (NV)""",202.1
32510,"""Carson City, (NV)""",276.5
35003,"""Catron, (NM)""",205.3
35006,"""Cibola, (NM)""",201.6
35013,"""Do̱a Ana, (NM)""",183.3
35017,"""Grant, (NM)""",208.3
35023,"""Hidalgo, (NM)""",227.8
35029,"""Luna, (NM)""",248.5
35031,"""McKinley, (NM)""",193.7
35043,"""Sandoval, (NM)""",191.2
