FIPS,air_quality_annual_PM2p5,median_household_income,percent_diagnosed_diabetes,percent_EDU_less_col,percent_EDU_less_HS,percent_food_stamp,percent_high_BP,percent_high_chol,percent_obisity,percent_phys_inactivity,percent_poverty,percent_somker_status,unemployment_rate
6109,9.0,63000.0,7.9,77.7,9.0,8.3,35.1,35.5,23.2,19.8,12.1,12.8,7.3
6113,6.3,81000.0,9.2,57.4,12.5,7.7,24.0,25.5,29.1,19.4,14.8,11.0,5.8
6115,8.6,56000.0,7.5,82.0,17.8,15.8,26.9,29.5,29.1,20.5,16.3,15.2,8.5
15001,15.8,70000.0,8.9,70.5,7.1,19.4,30.9,29.8,26.2,21.6,12.2,15.5,5.5
15003,4.2,90000.0,10.0,64.3,7.6,8.6,30.1,30.7,25.7,21.2,8.0,11.4,5.3
15005,NaN,NaN,9.0,60.5,1.4,NaN,40.8,33.4,21.1,21.5,NaN,9.4,NaN
15007,3.5,81000.0,8.8,71.5,7.6,10.1,29.7,29.1,25.7,20.8,9.9,12.7,7.8
15009,4.4,81000.0,8.2,71.7,7.7,10.0,27.2,27.3,24.8,19.3,9.5,13.6,7.3
41003,7.0,66000.0,5.7,46.7,3.8,8.5,24.5,26.3,25.5,18.0,15.7,11.0,3.9
41005,8.2,83000.0,7.6,62.0,6.3,8.7,32.1,31.2,27.9,18.7,6.8,12.9,4.8
41007,5.1,63000.0,8.0,76.0,7.6,15.5,33.5,32.3,27.1,20.7,10.5,15.9,6.0
41009,6.4,73000.0,9.7,82.0,9.2,14.1,32.8,31.7,35.8,22.2,9.2,16.1,5.8
41011,6.0,51000.0,9.7,80.1,10.0,21.8,38.7,36.4,32.4,22.3,15.4,17.4,6.3
41013,6.8,69000.0,8.4,81.2,10.7,18.2,37.2,34.3,25.6,19.0,10.3,16.8,6.7
41015,5.7,48000.0,8.8,76.5,7.9,18.4,39.3,36.8,24.4,20.8,14.5,15.1,6.7
41017,7.0,66000.0,7.4,62.8,6.2,11.3,30.4,32.1,22.8,19.5,8.1,13.6,5.3
41019,6.7,52000.0,8.7,81.5,9.5,21.0,35.7,35.3,33.6,22.1,13.3,16.9,5.8
41021,5.9,63000.0,7.1,78.3,6.5,13.3,37.3,35.6,21.3,19.8,10.7,17.0,4.8
41027,5.4,82000.0,6.3,65.3,17.5,11.6,27.7,28.2,24.5,19.3,8.5,14.0,4.5
41029,7.2,57000.0,8.7,71.2,9.6,19.0,31.3,34.2,26.7,18.9,11.9,14.8,5.4
41031,6.2,64000.0,8.5,78.6,11.7,24.8,32.7,32.0,26.7,24.0,12.5,17.5,6.5
41033,5.9,48000.0,8.7,81.9,9.2,23.8,36.0,36.0,30.8,22.0,15.8,17.4,6.2
41035,6.9,50000.0,6.8,78.8,12.3,24.2,34.6,33.3,26.8,22.0,19.7,17.4,6.7
41037,6.4,49000.0,8.2,80.6,12.1,18.1,38.4,35.0,28.1,20.3,15.7,18.2,5.5
41039,6.7,59000.0,7.6,68.1,7.5,16.2,29.3,30.4,27.6,19.0,14.5,15.1,5.5
41041,5.4,54000.0,7.6,72.3,7.7,18.7,37.8,34.2,32.1,22.9,14.4,15.6,6.8
41043,7.4,66000.0,9.7,80.5,10.1,18.9,32.7,28.7,36.4,24.5,11.3,17.1,5.6
41047,7.9,65000.0,10.3,75.9,14.8,18.2,30.0,27.2,35.7,22.1,12.1,15.8,5.1
41051,5.6,75000.0,7.1,53.5,8.0,14.1,26.2,27.0,26.3,16.8,11.2,14.7,5.6
41053,7.3,67000.0,8.3,69.5,8.5,12.3,29.5,28.7,28.3,21.8,11.1,14.2,4.8
41055,5.7,62000.0,8.0,80.0,10.6,16.3,35.4,34.4,23.9,19.2,11.9,16.3,4.3
41057,5.0,58000.0,6.5,78.6,9.7,15.7,35.2,33.3,23.2,21.7,10.8,15.7,5.5
41065,5.9,56000.0,7.4,79.6,12.4,17.3,31.7,31.7,30.8,22.0,12.4,16.5,5.2
41067,6.2,85000.0,8.0,55.1,7.4,8.3,26.4,26.9,27.1,16.4,7.5,11.9,4.4
41069,4.8,43000.0,7.0,81.1,6.7,13.9,42.4,38.4,22.3,19.9,14.0,15.6,3.3
41071,7.5,68000.0,8.0,72.7,10.4,13.6,29.0,29.9,31.0,20.4,8.7,15.0,4.7
53007,5.1,62000.0,7.5,73.6,16.3,11.5,29.7,31.7,23.6,18.4,8.3,14.6,5.3
53009,4.6,55000.0,7.8,71.2,7.9,14.0,37.5,36.7,22.3,18.9,13.3,14.6,6.5
53011,6.6,77000.0,8.9,68.7,7.0,10.7,30.0,30.5,33.1,15.7,8.7,13.6,5.5
53015,5.9,64000.0,9.7,83.0,10.1,19.8,35.4,34.0,38.2,20.2,11.9,18.1,6.4
53027,5.2,54000.0,10.5,83.9,10.1,20.5,37.1,37.5,35.4,21.3,15.1,18.3,7.8
53029,6.1,77000.0,7.6,65.9,4.4,7.3,32.7,33.1,24.1,17.2,6.5,12.5,5.6
53031,5.1,66000.0,5.7,57.5,3.7,10.9,38.1,38.4,22.0,12.6,10.6,12.3,6.2
53033,7.7,103000.0,7.3,46.6,6.6,7.5,26.0,29.1,22.5,13.9,7.6,9.6,4.3
53035,4.2,77000.0,7.6,65.6,5.1,9.3,30.7,32.4,31.0,17.2,8.3,13.2,5.0
53037,6.0,65000.0,7.3,65.9,8.2,8.7,26.8,27.1,28.7,16.8,12.9,14.8,6.3
53039,6.0,57000.0,8.6,69.5,11.2,15.0,34.2,34.7,29.2,18.1,14.0,16.1,6.0
53041,5.7,55000.0,10.1,80.9,10.6,18.0,33.5,36.5,29.7,19.6,13.3,16.9,6.3
53045,5.4,64000.0,8.0,81.9,10.4,16.0,36.7,36.1,33.6,21.3,12.6,16.9,7.0
53047,6.0,49000.0,7.7,79.8,15.4,19.4,35.3,32.7,24.3,19.2,19.8,19.1,6.6
53049,5.0,53000.0,8.4,79.7,10.2,17.9,40.2,39.4,28.1,21.5,13.6,16.1,7.9
53053,7.0,80000.0,10.5,72.3,8.2,12.6,33.1,33.5,30.9,18.1,8.7,15.0,6.1
53055,5.7,75000.0,4.5,48.3,4.1,5.1,34.6,37.2,19.8,12.8,9.6,10.3,5.0
53057,5.3,79000.0,7.5,72.6,9.4,12.9,28.9,34.6,25.4,15.1,9.5,13.6,6.3
53059,5.4,69000.0,8.1,74.0,8.1,10.3,35.7,34.4,29.1,19.5,10.6,16.0,6.4
53061,6.5,94000.0,8.7,67.2,7.5,8.1,27.9,29.5,30.2,17.7,7.1,13.6,5.0
53067,6.4,80000.0,7.8,64.3,6.1,11.5,30.8,32.0,34.2,14.9,9.7,14.3,5.2
53069,4.9,62000.0,9.0,79.7,7.3,14.9,40.4,40.4,34.6,20.3,10.7,14.5,6.6
53073,4.9,70000.0,7.1,64.7,7.3,10.6,28.9,30.8,29.9,14.8,11.7,14.5,6.0
53077,10.2,56000.0,10.7,82.4,25.7,20.9,30.1,30.4,34.2,22.0,14.8,17.0,7.0
4001,6.0,36000.0,13.1,87.5,18.5,31.3,36.6,31.0,36.4,23.7,32.4,25.1,9.1
4003,3.9,51000.0,9.1,74.4,11.3,16.6,35.8,34.5,32.2,23.2,14.6,16.1,4.8
