Incidence Rate Report for United States by County

"Thyroid (All Stages^), 2015-2019"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ward County, North Dakota(6)",38101,11.6 ,6.8, 18.4,N/A , 1 , 3,4,*,*,*,*
"Island County, Washington(7)",53029,11.5 ,7.1, 17.6,N/A , 1 , 11,5,*,*,*,*
"Mercer County, New Jersey(7)",34021,11.5 ,9.4, 13.8,N/A , 1 , 13,23,rising,3.6 ,0.6, 6.7
"Cambria County, Pennsylvania(6)",42021,11.5 ,8.1, 15.7,N/A , 1 , 42,9,rising,4.2 ,0.4, 8.1
"Greene County, New York(7)",36039,11.4 ,6.3, 19.2,N/A , 1 , 39,3,*,*,*,*
"Venango County, Pennsylvania(6)",42121,11.3 ,6.2, 19,N/A , 1 , 46,3,*,*,*,*
"Ocean County, New Jersey(7)",34029,11.3 ,9.6, 13.2,N/A , 1 , 12,36,rising,3.5 ,1.3, 5.7
"Middlesex County, Massachusetts(7)",25017,11.2 ,10.2, 12.3,N/A , 1 , 5,96,stable,0.0 ,-2.5, 2.6
"Allegheny County, Pennsylvania(6)",42003,11.2 ,10.1, 12.4,N/A , 4 , 27,76,stable,-1.6 ,-3.6, 0.5
"Coles County, Illinois(7)",17029,11.2 ,6.2, 18.7,N/A , 1 , 22,3,*,*,*,*
"Hamilton County, Indiana(6)",18057,11.1 ,8.9, 13.8,N/A , 1 , 7,17,rising,3.7 ,1.1, 6.4
"Saratoga County, New York(7)",36091,11.1 ,8.6, 14.2,N/A , 2 , 30,15,rising,4.3 ,1.2, 7.5
"Vermilion Parish, Louisiana(7)",22113,11.1 ,6.2, 18.2,N/A , 1 , 18,3,stable,1.4 ,-3.6, 6.7
"Putnam County, New York(7)",36079,11.1 ,7.5, 15.9,N/A , 2 , 37,7,*,*,*,*
"Kings County, New York(7)",36047,11.1 ,10.2, 12,N/A , 5 , 20,136,stable,-0.2 ,-4.8, 4.6
"Litchfield County, Connecticut(7)",09005,11 ,8.1, 14.6,N/A , 1 , 6,11,rising,4.6 ,2.1, 7.1
"New London County, Connecticut(7)",09011,11 ,8.6, 13.8,N/A , 1 , 5,17,rising,5.0 ,3.6, 6.5
"Utah County, Utah(7)",49049,10.9 ,9, 13.2,N/A , 1 , 4,24,stable,-2.5 ,-7.3, 2.6
"Cass County, North Dakota(6)",38017,10.9 ,7.9, 14.7,N/A , 1 , 3,9,*,*,*,*
"Benton County, Washington(6)",53005,10.9 ,8.2, 14.2,N/A , 1 , 7,12,rising,5.3 ,0.5, 10.3
"Medina County, Ohio(6)",39103,10.9 ,8.1, 14.3,N/A , 1 , 32,11,stable,3.7 ,-0.2, 7.9
"Cayuga County, New York(7)",36011,10.9 ,6.7, 16.6,N/A , 2 , 39,5,*,*,*,*
"Union County, Ohio(6)",39159,10.9 ,6.1, 18,N/A , 1 , 43,3,*,*,*,*
"Erie County, Ohio(6)",39043,10.8 ,6.9, 16.3,N/A , 1 , 40,5,*,*,*,*
"Herkimer County, New York(7)",36043,10.8 ,6.2, 17.4,N/A , 1 , 39,4,*,*,*,*
"Nassau County, Florida(6)",12089,10.7 ,6.8, 16.1,N/A , 1 , 28,6,*,*,*,*
"Worcester County, Massachusetts(7)",25027,10.7 ,9.4, 12.2,N/A , 1 , 7,48,rising,4.4 ,2.3, 6.6
"Ascension Parish, Louisiana(7)",22005,10.7 ,7.3, 15.2,N/A , 1 , 16,7,*,*,*,*
"Lackawanna County, Pennsylvania(6)",42069,10.7 ,8, 14,N/A , 2 , 42,11,stable,2.5 ,-1.7, 6.9
"Norfolk County, Massachusetts(7)",25021,10.6 ,9.2, 12.3,N/A , 1 , 7,40,stable,-2.2 ,-5.1, 0.8
"New York County, New York(7)",36061,10.6 ,9.6, 11.6,N/A , 6 , 23,92,stable,-5.3 ,-12.1, 2.2
"Dane County, Wisconsin(6)",55025,10.6 ,8.9, 12.5,N/A , 1 , 10,29,rising,4.6 ,2.2, 7.0
