Incidence Rate Report for United States by County

"Liver & Bile Duct (All Stages^), 2015-2019"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"San Francisco County, California(7)",06075,7 ,6, 8.1,N/A , 2 , 18,39,falling,-4.8 ,-9.2, -0.2
"Fresno County, California(7)",06019,7 ,6, 8.1,N/A , 2 , 19,37,rising,2.5 ,0.3, 4.7
"Potter County, Texas(7)",48375,6.9 ,4.3, 10.6,N/A , 4 , 50,4,stable,2.7 ,-2.4, 8.1
"Osceola County, Florida(6)",12097,6.9 ,5.4, 8.7,N/A , 1 , 16,14,rising,5.8 ,1.7, 10.1
"San Joaquin County, California(7)",06077,6.8 ,5.8, 8.1,N/A , 2 , 22,29,rising,3.7 ,2.0, 5.5
"Multnomah County, Oregon(6)",41051,6.8 ,5.8, 8,N/A , 1 , 7,32,rising,4.0 ,2.0, 6.0
"District of Columbia(6)",11001,6.8 ,5.7, 8.1,N/A , N/A , N/A,26,rising,4.1 ,1.3, 7.1
"Granville County, North Carolina(6)",37077,6.8 ,3.8, 11.6,N/A , 1 , 28,3,*,*,*,*
"Gaston County, North Carolina(6)",37071,6.7 ,5, 8.9,N/A , 1 , 19,10,rising,8.9 ,5.4, 12.6
"Cameron County, Texas(7)",48061,6.7 ,5.3, 8.3,N/A , 10 , 45,16,stable,1.2 ,-1.5, 4.0
"Sacramento County, California(7)",06067,6.6 ,5.9, 7.4,N/A , 3 , 18,63,rising,3.5 ,2.0, 5.2
"Mercer County, Pennsylvania(6)",42085,6.6 ,4.4, 9.8,N/A , 1 , 28,6,*,*,*,*
"Lawrence County, Pennsylvania(6)",42073,6.6 ,4, 10.5,N/A , 1 , 31,5,rising,6.8 ,1.7, 12.1
"Smith County, Texas(7)",48423,6.6 ,4.9, 8.8,N/A , 8 , 48,10,rising,5.7 ,2.8, 8.8
"Coconino County, Arizona(6)",04005,6.6 ,4.1, 10,N/A , 1 , 8,5,*,*,*,*
"St. Clair County, Illinois(7)",17163,6.6 ,5, 8.6,N/A , 1 , 12,12,rising,4.1 ,1.0, 7.3
"Rockdale County, Georgia(7)",13247,6.5 ,3.8, 10.5,N/A , 1 , 21,4,*,*,*,*
"Wayne County, North Carolina(6)",37191,6.5 ,4.2, 9.8,N/A , 1 , 27,5,*,*,*,*
"Pickens County, South Carolina(6)",45077,6.5 ,4.2, 9.7,N/A , 1 , 15,5,*,*,*,*
"Philadelphia County, Pennsylvania(6)",42101,6.5 ,5.8, 7.3,N/A , 1 , 10,66,stable,-2.0 ,-4.5, 0.6
"Denver County, Colorado(6)",08031,6.5 ,5.4, 7.8,N/A , 1 , 3,24,rising,3.8 ,0.5, 7.2
"St. Louis City, Missouri(6)",29510,6.5 ,5, 8.3,N/A , 1 , 5,13,stable,0.8 ,-2.0, 3.7
"Bay County, Michigan(6)",26017,6.5 ,3.9, 10.2,N/A , 1 , 19,5,*,*,*,*
"Duval County, Florida(6)",12031,6.4 ,5.5, 7.4,N/A , 1 , 11,39,rising,4.0 ,2.1, 5.9
"Floyd County, Georgia(7)",13115,6.3 ,3.8, 10,N/A , 1 , 21,4,*,*,*,*
"Cape May County, New Jersey(7)",34009,6.3 ,4.1, 9.7,N/A , 1 , 16,6,*,*,*,*
"Kern County, California(7)",06029,6.3 ,5.3, 7.5,N/A , 3 , 28,26,rising,3.9 ,2.0, 5.9
"Indiana County, Pennsylvania(6)",42063,6.3 ,3.5, 10.6,N/A , 1 , 32,3,*,*,*,*
"Marion County, Indiana(6)",18097,6.3 ,5.4, 7.3,N/A , 1 , 4,35,rising,4.4 ,2.0, 6.9
"San Bernardino County, California(7)",06071,6.3 ,5.6, 7,N/A , 4 , 22,70,rising,2.7 ,1.7, 3.7
"Johnson County, Texas(7)",48251,6.2 ,4.2, 9,N/A , 7 , 50,6,*,*,*,*
"Clinton County, New York(7)",36019,6.2 ,3.6, 10.3,N/A , 1 , 25,4,*,*,*,*
"Jefferson County, Texas(7)",48245,6.2 ,4.6, 8.3,N/A , 11 , 49,10,stable,1.2 ,-0.9, 3.4
"Rogers County, Oklahoma(6)",40131,6.2 ,3.6, 10,N/A , 1 , 6,4,*,*,*,*
"Pierce County, Washington(7)",53053,6.2 ,5.3, 7.2,N/A , 1 , 11,33,rising,3.3 ,1.8, 4.8
"Livingston Parish, Louisiana(7)",22063,6.1 ,4, 9.1,N/A , 1 , 13,5,*,*,*,*
"Nash County, North Carolina(6)",37127,6.1 ,3.7, 9.7,N/A , 1 , 28,4,*,*,*,*
"Talladega County, Alabama(6)",01121,6.1 ,3.6, 9.9,N/A , 1 , 13,4,*,*,*,*
"Brazos County, Texas(7)",48041,6.1 ,4, 8.9,N/A , 7 , 50,5,*,*,*,*
"Douglas County, Oregon(6)",41019,6.1 ,4, 9.1,N/A , 1 , 13,6,rising,4.8 ,0.2, 9.6
"Schuylkill County, Pennsylvania(6)",42107,6.1 ,4.1, 8.8,N/A , 1 , 29,7,*,*,*,*
"Tarrant County, Texas(7)",48439,6.1 ,5.4, 6.8,N/A , 21 , 42,65,stable,-5.9 ,-16.1, 5.4
"Jasper County, Missouri(6)",29097,6 ,3.8, 9.1,N/A , 1 , 9,5,*,*,*,*
"Durham County, North Carolina(6)",37063,6 ,4.5, 7.9,N/A , 1 , 23,11,stable,3.0 ,-1.0, 7.3
"Suffolk County, Massachusetts(7)",25025,6 ,5, 7.2,N/A , 1 , 3,26,stable,-0.1 ,-2.5, 2.4
"Beaver County, Pennsylvania(6)",42007,6 ,4.3, 8.4,N/A , 1 , 28,8,rising,7.2 ,2.5, 12.1
"Santa Clara County, California(7)",06085,6 ,5.4, 6.7,N/A , 5 , 25,68,stable,1.3 ,0.0, 2.6
"Etowah County, Alabama(6)",01055,6 ,3.8, 9.1,N/A , 1 , 12,5,*,*,*,*
"Sullivan County, Tennessee(6)",47163,6 ,4.2, 8.3,N/A , 1 , 11,8,*,*,*,*
"Guadalupe County, Texas(7)",48187,6 ,3.9, 8.7,N/A , 8 , 50,5,*,*,*,*
"Lake County, California(7)",06033,5.9 ,3.2, 10.5,N/A , 1 , 36,3,*,*,*,*
"Honolulu County, Hawaii(7)",15003,5.9 ,5.1, 6.8,N/A , 1 , 3,42,stable,0.1 ,-1.4, 1.6
"Coweta County, Georgia(7)",13077,5.9 ,3.8, 8.8,N/A , 1 , 21,5,*,*,*,*
"Richmond County, Georgia(7)",13245,5.9 ,4.1, 8.3,N/A , 1 , 20,7,*,*,*,*
"Comal County, Texas(7)",48091,5.9 ,4, 8.5,N/A , 9 , 50,6,stable,1.6 ,-1.9, 5.2
"Geauga County, Ohio(6)",39055,5.9 ,3.3, 9.9,N/A , 1 , 25,4,*,*,*,*
"Skagit County, Washington(7)",53057,5.9 ,3.9, 8.7,N/A , 1 , 17,6,*,*,*,*
"New York County, New York(7)",36061,5.9 ,5.2, 6.5,N/A , 2 , 11,69,stable,0.9 ,-0.2, 2.1
"Solano County, California(7)",06095,5.8 ,4.7, 7.3,N/A , 3 , 32,18,rising,3.3 ,0.6, 6.0
"Craighead County, Arkansas(6)",05031,5.8 ,3.4, 9.3,N/A , 1 , 7,4,*,*,*,*
"Ellis County, Texas(7)",48139,5.8 ,3.9, 8.5,N/A , 9 , 50,6,*,*,*,*
"Lycoming County, Pennsylvania(6)",42081,5.8 ,3.6, 9,N/A , 1 , 32,5,*,*,*,*
"Gwinnett County, Georgia(7)",13135,5.8 ,4.8, 7,N/A , 1 , 16,24,*,*,*,*
"Galveston County, Texas(7)",48167,5.8 ,4.4, 7.5,N/A , 15 , 50,13,stable,0.3 ,-2.3, 3.1
"Montgomery County, Tennessee(6)",47125,5.8 ,3.7, 8.6,N/A , 1 , 13,5,*,*,*,*
"Polk County, Oregon(6)",41053,5.8 ,3.4, 9.4,N/A , 1 , 13,4,*,*,*,*
"Yuma County, Arizona(6)",04027,5.8 ,4.1, 7.9,N/A , 1 , 7,8,stable,3.3 ,-0.8, 7.5
"Faulkner County, Arkansas(6)",05045,5.8 ,3.5, 9,N/A , 1 , 7,4,*,*,*,*
"Cowlitz County, Washington(6)",53015,5.8 ,3.6, 8.9,N/A , 1 , 18,5,*,*,*,*
"Baltimore County, Maryland(6)",24005,5.7 ,4.9, 6.7,N/A , 2 , 9,35,rising,4.5 ,2.3, 6.9
"Cook County, Illinois(7)",17031,5.7 ,5.4, 6.1,N/A , 2 , 9,193,rising,3.8 ,3.0, 4.7
"Shelby County, Tennessee(6)",47157,5.7 ,4.9, 6.7,N/A , 1 , 8,34,stable,-9.4 ,-22.4, 5.6
"Richmond County, New York(7)",36085,5.7 ,4.6, 7.1,N/A , 2 , 17,19,rising,2.7 ,1.0, 4.4
"Oklahoma County, Oklahoma(6)",40109,5.7 ,4.8, 6.8,N/A , 2 , 4,28,rising,2.7 ,0.4, 5.1
"Randall County, Texas(7)",48381,5.7 ,3.6, 8.6,N/A , 8 , 50,5,*,*,*,*
"Los Angeles County, California(7)",06037,5.7 ,5.4, 6,N/A , 10 , 23,344,rising,0.9 ,0.1, 1.7
"Kitsap County, Washington(7)",53035,5.7 ,4.2, 7.6,N/A , 1 , 16,11,rising,2.8 ,1.2, 4.4
"Rowan County, North Carolina(6)",37159,5.7 ,3.8, 8.3,N/A , 1 , 28,6,*,*,*,*
"Columbia County, Georgia(7)",13073,5.7 ,3.6, 8.5,N/A , 1 , 21,5,*,*,*,*
"San Diego County, California(7)",06073,5.7 ,5.2, 6.2,N/A , 9 , 26,113,rising,2.0 ,1.2, 2.9
"Orleans Parish, Louisiana(7)",22071,5.7 ,4.4, 7.2,N/A , 1 , 11,14,stable,0.5 ,-1.8, 2.9
"Kanawha County, West Virginia(6)",54039,5.7 ,3.9, 7.9,N/A , N/A , N/A,8,rising,4.6 ,0.6, 8.8
"Dona Ana County, New Mexico(7)",35013,5.6 ,3.9, 7.9,N/A , 1 , 5,7,*,*,*,*
"Hillsborough County, Florida(6)",12057,5.6 ,5, 6.4,N/A , 1 , 17,49,rising,4.8 ,3.0, 6.7
"Berkeley County, South Carolina(6)",45015,5.6 ,3.8, 7.9,N/A , 1 , 15,7,*,*,*,*
"Caddo Parish, Louisiana(7)",22017,5.6 ,4.1, 7.5,N/A , 1 , 12,10,*,*,*,*
"Jefferson County, Kentucky(7)",21111,5.6 ,4.7, 6.6,N/A , 1 , 3,30,rising,3.6 ,1.7, 5.6
"Travis County, Texas(7)",48453,5.6 ,4.7, 6.6,N/A , 22 , 47,32,stable,-6.7 ,-15.5, 3.1
"Sonoma County, California(7)",06097,5.6 ,4.6, 6.8,N/A , 5 , 32,22,rising,3.3 ,0.9, 5.8
"Clackamas County, Oregon(6)",41005,5.6 ,4.4, 7,N/A , 2 , 12,16,rising,3.9 ,0.2, 7.6
"Orange County, Texas(7)",48361,5.6 ,3.2, 9.3,N/A , 7 , 50,3,*,*,*,*
"Mobile County, Alabama(6)",01097,5.6 ,4.4, 7,N/A , 1 , 11,16,stable,2.4 ,-0.7, 5.7
"Walworth County, Wisconsin(6)",55127,5.6 ,3.3, 9,N/A , 1 , 13,4,*,*,*,*
"Forsyth County, North Carolina(6)",37067,5.6 ,4.3, 7,N/A , 1 , 23,15,rising,4.2 ,1.6, 6.8
"San Mateo County, California(7)",06081,5.6 ,4.7, 6.6,N/A , 6 , 32,30,rising,2.5 ,1.2, 3.8
"Rockingham County, North Carolina(6)",37157,5.6 ,3.4, 8.9,N/A , 1 , 29,4,stable,2.8 ,-2.3, 8.1
"Cecil County, Maryland(6)",24015,5.5 ,3.3, 8.9,N/A , 1 , 15,4,*,*,*,*
"Josephine County, Oregon(6)",41033,5.5 ,3.3, 9.1,N/A , 1 , 13,4,*,*,*,*
"Calvert County, Maryland(6)",24009,5.5 ,3.2, 9.1,N/A , 1 , 15,3,*,*,*,*
"Napa County, California(7)",06055,5.5 ,3.6, 8.3,N/A , 2 , 36,5,stable,3.8 ,-0.9, 8.7
"Stanislaus County, California(7)",06099,5.5 ,4.4, 6.9,N/A , 4 , 34,17,rising,3.3 ,1.6, 5.1
"Cambria County, Pennsylvania(6)",42021,5.5 ,3.7, 8.2,N/A , 1 , 31,6,*,*,*,*
"Whitfield County, Georgia(7)",13313,5.5 ,3.3, 8.9,N/A , 1 , 21,4,*,*,*,*
"Butte County, California(7)",06007,5.5 ,4, 7.5,N/A , 3 , 35,9,*,*,*,*
"Adams County, Colorado(6)",08001,5.5 ,4.3, 7,N/A , 1 , 6,14,stable,1.5 ,-1.9, 5.1
"Lauderdale County, Alabama(6)",01077,5.5 ,3.1, 9.2,N/A , 1 , 13,4,*,*,*,*
"Lubbock County, Texas(7)",48303,5.5 ,4, 7.4,N/A , 15 , 50,9,rising,5.1 ,0.9, 9.4
"Henderson County, Texas(7)",48213,5.5 ,3.2, 9,N/A , 8 , 50,4,*,*,*,*
"Newport County, Rhode Island(6)",44005,5.5 ,3.3, 8.9,N/A , 1 , 3,4,*,*,*,*
"Hays County, Texas(7)",48209,5.5 ,3.6, 8,N/A , 11 , 50,6,*,*,*,*
"Lackawanna County, Pennsylvania(6)",42069,5.5 ,4, 7.4,N/A , 1 , 29,9,rising,7.1 ,3.1, 11.2
"Maui County, Hawaii(7)",15009,5.4 ,3.7, 7.8,N/A , 1 , 3,7,stable,2.6 ,-1.6, 6.9
"McLennan County, Texas(7)",48309,5.4 ,3.9, 7.4,N/A , 15 , 50,8,stable,2.7 ,-0.7, 6.1
"Escambia County, Florida(6)",12033,5.4 ,4.1, 7,N/A , 1 , 29,12,rising,3.2 ,0.8, 5.7
"Monroe County, Indiana(6)",18105,5.4 ,3.2, 8.5,N/A , 1 , 11,4,*,*,*,*
"Snohomish County, Washington(7)",53061,5.4 ,4.5, 6.5,N/A , 2 , 15,26,rising,3.1 ,1.8, 4.5
"Ascension Parish, Louisiana(7)",22005,5.4 ,3.1, 8.7,N/A , 1 , 13,3,*,*,*,*
"Midland County, Texas(7)",48329,5.4 ,3.4, 8.2,N/A , 10 , 50,5,*,*,*,*
"LaFourche Parish, Louisiana(7)",22057,5.4 ,3.2, 8.6,N/A , 1 , 13,4,*,*,*,*
"Fort Bend County, Texas(7)",48157,5.4 ,4.3, 6.6,N/A , 22 , 50,19,stable,0.4 ,-2.2, 3.0
"Montgomery County, Alabama(6)",01101,5.4 ,3.9, 7.3,N/A , 1 , 12,9,rising,9.5 ,3.2, 16.2
"Ocean County, New Jersey(7)",34029,5.4 ,4.4, 6.5,N/A , 1 , 11,27,rising,5.0 ,3.3, 6.8
"Lorain County, Ohio(6)",39093,5.4 ,4.1, 7,N/A , 1 , 22,12,*,*,*,*
"Alameda County, California(7)",06001,5.4 ,4.7, 6.1,N/A , 9 , 31,56,rising,2.1 ,1.1, 3.0
"Queens County, New York(7)",36081,5.3 ,4.8, 5.9,N/A , 2 , 13,82,rising,1.6 ,0.8, 2.5
"Wayne County, Michigan(6)",26163,5.3 ,4.7, 6,N/A , 2 , 10,64,rising,1.9 ,0.4, 3.5
"King County, Washington(7)",53033,5.3 ,4.8, 5.9,N/A , 3 , 14,67,rising,2.4 ,1.5, 3.4
"Calcasieu Parish, Louisiana(7)",22019,5.3 ,3.7, 7.5,N/A , 1 , 13,7,stable,1.2 ,-2.0, 4.6
"New Castle County, Delaware(6)",10003,5.3 ,4.3, 6.5,N/A , 1 , 2,20,rising,6.4 ,3.2, 9.7
"Jackson County, Oregon(6)",41029,5.3 ,3.8, 7.3,N/A , 2 , 13,9,*,*,*,*
"Lafayette Parish, Louisiana(7)",22055,5.3 ,3.7, 7.3,N/A , 1 , 13,8,*,*,*,*
"Thurston County, Washington(7)",53067,5.3 ,3.9, 7.1,N/A , 2 , 17,11,rising,2.6 ,0.8, 4.5
"Chatham County, Georgia(7)",13051,5.3 ,3.9, 7,N/A , 2 , 20,10,rising,4.3 ,2.0, 6.7
"Mohave County, Arizona(6)",04015,5.3 ,3.7, 7.4,N/A , 1 , 8,10,stable,3.5 ,-0.5, 7.6
"Buncombe County, North Carolina(6)",37021,5.3 ,3.9, 7,N/A , 1 , 26,11,*,*,*,*
"Marion County, Oregon(6)",41047,5.3 ,4, 6.9,N/A , 2 , 13,12,rising,4.4 ,0.1, 8.8
"Orange County, New York(7)",36071,5.2 ,4, 6.8,N/A , 2 , 23,12,rising,3.7 ,0.9, 6.5
"Santa Barbara County, California(7)",06083,5.2 ,4.1, 6.6,N/A , 5 , 34,15,rising,3.4 ,1.5, 5.3
"Oneida County, New York(7)",36065,5.2 ,3.7, 7.2,N/A , 1 , 24,9,stable,1.1 ,-2.1, 4.3
"Scott County, Iowa(7)",19163,5.2 ,3.5, 7.6,N/A , 1 , 5,6,*,*,*,*
"Kings County, New York(7)",36047,5.2 ,4.7, 5.8,N/A , 3 , 14,85,rising,1.5 ,0.1, 2.8
"Lake County, Indiana(6)",18089,5.2 ,4.2, 6.4,N/A , 1 , 8,19,rising,3.7 ,0.2, 7.2
"Schenectady County, New York(7)",36093,5.2 ,3.5, 7.6,N/A , 1 , 25,6,rising,6.2 ,2.8, 9.8
"Berkeley County, West Virginia(6)",54003,5.2 ,3.1, 8.3,N/A , N/A , N/A,4,*,*,*,*
"Nassau County, Florida(6)",12089,5.2 ,3, 8.6,N/A , 1 , 37,4,*,*,*,*
"Wilkes County, North Carolina(6)",37193,5.2 ,2.9, 9,N/A , 1 , 29,3,*,*,*,*
"Warren County, Kentucky(7)",21227,5.2 ,3, 8.3,N/A , 1 , 4,4,*,*,*,*
"Davidson County, Tennessee(6)",47037,5.2 ,4.2, 6.3,N/A , 1 , 11,20,rising,5.0 ,1.9, 8.2
"Oswego County, New York(7)",36075,5.2 ,3.1, 8.2,N/A , 1 , 25,4,*,*,*,*
"Clallam County, Washington(7)",53009,5.2 ,3.2, 8.6,N/A , 1 , 18,5,*,*,*,*
"Lake County, Illinois(7)",17097,5.2 ,4.2, 6.3,N/A , 2 , 17,21,rising,4.3 ,2.2, 6.5
"Anchorage Borough, Alaska(6)",02020,5.1 ,3.6, 7.2,N/A , N/A , N/A,8,stable,0.2 ,-4.1, 4.7
"Citrus County, Florida(6)",12017,5.1 ,3.4, 7.8,N/A , 1 , 36,8,*,*,*,*
"Miami-Dade County, Florida(6)",12086,5.1 ,4.7, 5.6,N/A , 3 , 20,97,stable,1.0 ,-0.4, 2.3
"Canadian County, Oklahoma(6)",40017,5.1 ,3.1, 8,N/A , 2 , 6,4,*,*,*,*
"Dauphin County, Pennsylvania(6)",42043,5.1 ,3.8, 6.8,N/A , 1 , 30,10,rising,4.9 ,1.2, 8.7
"Milwaukee County, Wisconsin(6)",55079,5.1 ,4.3, 6,N/A , 2 , 9,29,rising,3.7 ,1.5, 6.0
"Richland County, South Carolina(6)",45079,5.1 ,3.9, 6.6,N/A , 1 , 15,12,stable,-13.6 ,-27.6, 3.1
"Kent County, Michigan(6)",26081,5.1 ,4.1, 6.2,N/A , 1 , 16,20,rising,4.3 ,1.4, 7.4
"Fulton County, Georgia(7)",13121,5.1 ,4.3, 6,N/A , 4 , 18,30,rising,2.3 ,1.0, 3.7
"Providence County, Rhode Island(6)",44007,5.1 ,4.1, 6.2,N/A , 1 , 3,22,stable,2.1 ,-0.3, 4.5
"Pinellas County, Florida(6)",12103,5.1 ,4.4, 5.9,N/A , 2 , 24,43,rising,4.5 ,2.2, 6.8
"Orange County, California(7)",06059,5.1 ,4.6, 5.5,N/A , 15 , 31,101,rising,2.0 ,1.1, 2.9
"Riverside County, California(7)",06065,5.1 ,4.6, 5.6,N/A , 13 , 32,73,rising,3.3 ,1.9, 4.8
"Madison County, Illinois(7)",17119,5.1 ,3.7, 6.8,N/A , 1 , 19,10,stable,1.7 ,-1.9, 5.3
"Pueblo County, Colorado(6)",08101,5.1 ,3.4, 7.3,N/A , 1 , 9,7,stable,1.1 ,-2.0, 4.4
"Monterey County, California(7)",06053,5 ,3.9, 6.5,N/A , 6 , 35,13,stable,0.6 ,-1.0, 2.3
"Kendall County, Illinois(7)",17093,5 ,2.9, 8.3,N/A , 1 , 20,3,*,*,*,*
"Berks County, Pennsylvania(6)",42011,5 ,4, 6.4,N/A , 2 , 28,15,rising,4.5 ,1.8, 7.3
"Muscogee County, Georgia(7)",13215,5 ,3.4, 7.2,N/A , 1 , 21,6,*,*,*,*
"Bristol County, Massachusetts(7)",25005,5 ,4.1, 6.2,N/A , 1 , 7,20,rising,3.6 ,1.4, 5.8
"Allegheny County, Pennsylvania(6)",42003,5 ,4.4, 5.8,N/A , 4 , 23,46,rising,3.7 ,2.0, 5.4
"Pinal County, Arizona(6)",04021,5 ,3.9, 6.4,N/A , 2 , 8,16,*,*,*,*
"Cuyahoga County, Ohio(6)",39035,5 ,4.4, 5.7,N/A , 2 , 17,50,rising,4.7 ,3.1, 6.3
"Hudson County, New Jersey(7)",34017,5 ,4, 6.2,N/A , 1 , 15,19,rising,2.8 ,0.8, 4.8
"Clermont County, Ohio(6)",39025,5 ,3.5, 7.1,N/A , 1 , 24,7,*,*,*,*
"Burke County, North Carolina(6)",37023,5 ,3, 8.2,N/A , 1 , 29,4,*,*,*,*
"McHenry County, Illinois(7)",17111,5 ,3.7, 6.7,N/A , 1 , 19,10,rising,3.4 ,0.7, 6.1
